name,price,review_count,alias,Phone1,city,country,state,address1,zip_code,latitude,longitude,image_url,rating
American Bar,3.0,44,cocktailbars,1,London,GB,XGL,The Savoy Hotel,WC2R 0EU,51.509767,-0.119833,https://s3-media1.fl.yelpcdn.com/bphoto/SKAdDh-m8ryWJtivu_hdMQ/o.jpg,4.5
Burger & Lobster,2.0,228,seafood,1,London,GB,XGL,36 Dean Street,W1D 4PS,51.5135487,-0.1322316,https://s3-media2.fl.yelpcdn.com/bphoto/DLmidvUBiGi5TfktTK25Jw/o.jpg,4.0
Quilon Restaurant,3.0,103,indpak,1,London,GB,XGL,41 Buckingham Gate,SW1E 6AF,51.4987197,-0.1374994,https://s3-media4.fl.yelpcdn.com/bphoto/weedogT3GCipmiiLua7UTw/o.jpg,4.5
Nightjar,3.0,149,lounges,1,London,GB,XGL,129 City Road,EC1V 1JB,51.5265222,-0.0877499,https://s3-media1.fl.yelpcdn.com/bphoto/yzyTg5QidNVxlEqH1BXOXg/o.jpg,4.5
Savoir Faire,2.0,153,french,1,London,GB,XGL,42 New Oxford Street,WC1A 1EP,51.5171949,-0.1260125,https://s3-media2.fl.yelpcdn.com/bphoto/tbGiSuVoblLS9SVhqky_4A/o.jpg,4.5
Coca Cola London Eye,,808,localflavor,0,London,GB,XGL,Riverside Building,SE1 7PB,51.503364,-0.11957,https://s3-media1.fl.yelpcdn.com/bphoto/L69q8DUsyKHxziZDONNQAA/o.jpg,4.0
Scott's,4.0,74,seafood,1,London,GB,XGL,20 Mount Street,W1K 2HE,51.5098472,-0.150917,https://s3-media3.fl.yelpcdn.com/bphoto/3E9t17OMWrXHH44gBi1q9w/o.jpg,4.5
Craft Beer Co.,2.0,36,pubs,0,London,GB,XGL,57 White Lion Street,N1 9PP,51.5328255,-0.1107395,https://s3-media1.fl.yelpcdn.com/bphoto/i0A97tzY-8ZO2IDqZSiGEg/o.jpg,4.5
The Blind Pig,2.0,37,cocktailbars,1,London,GB,XGL,58 Poland Street,W1F 7NR,51.5138271,-0.1367278,https://s3-media1.fl.yelpcdn.com/bphoto/M--7O97CXPNkHWYM7UjCuA/o.jpg,4.5
La Fromagerie,3.0,91,cheese,1,London,GB,XGL,2-6 Moxon Street,W1U 4EW,51.5198559022,-0.152211421569,https://s3-media1.fl.yelpcdn.com/bphoto/cxKK1HXPc9YXtHK8krXNTw/o.jpg,4.0
